Time (epoch),Longitude,Latitude,Depth (km),RMS (s),CI Year
1389291045,-127.5482,43.9962,2.5782,0.6199,3
1389521981,-128.0208,49.0598,46.6367,0.5941,3
1389628560,-126.0895,44.8643,30.3458,0.5899,3
1391461461,-125.9663,41.8553,50.7903,0.4529,3
1397091709,-126.1615,43.703,33.4462,0.8718,3
1398187614,-125.6524,43.3807,34.6344,0.1671,3
1400568999,-125.9484,44.487,35.856,0.5937,3
1408168859,-125.8655,41.7852,9.3131,1.1989,4
1409372579,-125.8409,41.7858,3.8815,1.1761,4
1409381788,-125.84,41.7789,23.8297,0.9664,4
1410694807,-125.6393,41.4828,26.7774,0.4731,4
1411352073,-126.0725,41.8313,34.7889,0.8837,4
1411582403,-125.2719,41.0021,30.9623,0.5946,4
1411707945,-126.1935,41.9416,31.7664,1.0219,4
1411890778,-125.1989,41.4279,31.5213,0.5492,4
1412182743,-125.2,40.8554,36.2065,0.5704,4
1412936238,-125.2858,41.6624,62.4053,0.9183,4
1413009376,-126.2048,41.9496,30.6758,0.8033,4
1414361812,-125.2923,40.7948,34.166,0.484,4
1414376698,-126.1633,42.0229,31.2889,0.8604,4
1414617329,-125.6914,44.689,31.2275,0.4175,4
1414666705,-126.0786,41.969,66.6446,2.4026,4
1415148410,-125.6059,41.1429,0,0.7714,4
1415499667,-125.3667,41.1239,25.7832,0.3933,4
1417180014,-125.5631,44.0209,34.7759,0.5562,4
1418561965,-125.5911,42.5498,19.02,0.2869,4
1420381224,-125.7011,42.0645,38.1788,0.765,4
1420398619,-125.6893,42.4608,40.1249,0.4035,4
1420669794,-125.8983,44.0352,16.8535,0.463,4
1421057190,-125.2767,41.2775,29.8496,1.183,4
1421842104,-125.5356,42.1406,38.7181,0.6585,4
1426776200,-125.9477,44.7266,35.3027,0.5217,4
1426902319,-125.9363,44.6759,32.9908,1.5182,4
1427055388,-126.0788,44.1309,34.8138,0.6347,4
1427196821,-125.2581,41.5289,32.8397,0.7793,4
1427220671,-125.2182,41.5459,34.8367,0.7191,4
1427239747,-125.1594,41.5101,41.0007,0.6864,4
1429022004,-125.4822,41.2121,0,1.3741,4
1429706551,-125.7411,44.8145,60.9271,0.9298,4
1430118340,-125.3337,41.5688,34.9057,0.8878,4
1430914193,-125.7896,44.0487,18.7866,0.5451,4
1433182210,-125.2341,41.5377,32.2936,0.6111,4
1434304116,-125.5824,41.8427,31.442,1.3602,4
1435563874,-125.4661,41.5692,33.6069,1.0399,4
1436212035,-125.0592,41.2595,38.8995,0.5592,4
1438184763,-126.0312,44.1289,27.7321,0.4622,4
1438674188,-125.8827,44.1822,45.6873,0.6355,4
1439362837,-125.3503,41.4681,26.9531,0.6021,4
1440939088,-125.2992,41.4434,34.2457,0.6267,4
1442034887,-125.558,41.3546,24.1152,0.5578,4
1442134312,-126.495,40.8246,22.7495,0.798,4
1411301721,-124.9892,41.0768,0,1.14,4
1415354286,-125.4279,41.4616,23.0222,0.2749,4
1415608558,-126.1088,41.922,31.025,0.3035,4
1412975672,-126.0119,40.5054,25.3758,0.5592,4
1413879766,-125.2933,41.5351,34.5558,0.485,4
