,idx,time,x,y,z,picks,latitude,longitude,depth,event_idx,pick_idx,residual,station,phase,time_pick
2118,170,2012-10-13 15:56:31.249838+00:00,77.41059075735379,-244.97347282337418,49.609375,8,40.29067437278576,-124.58962201226576,49.609375,170,287110,-0.04866194725036621,KMPB,S,1350143808.73
2119,171,2012-10-13 18:38:28.190830+00:00,66.41236474811228,-215.24275022867334,29.296875,7,40.559335792445886,-124.71585001762448,29.296875,171,159517,-0.5737402439117432,FS09B,S,1350153516.1152
2120,171,2012-10-13 18:38:28.190830+00:00,66.41236474811228,-215.24275022867334,29.296875,7,40.559335792445886,-124.71585001762448,29.296875,171,11275,-0.544741153717041,FS13B,P,1350153512.2804
2121,171,2012-10-13 18:38:28.190830+00:00,66.41236474811228,-215.24275022867334,29.296875,7,40.559335792445886,-124.71585001762448,29.296875,171,165589,0.5429465770721436,FS13B,S,1350153516.5764
2122,171,2012-10-13 18:38:28.190830+00:00,66.41236474811228,-215.24275022867334,29.296875,7,40.559335792445886,-124.71585001762448,29.296875,171,49705,0.4508349895477295,FS20B,P,1350153515.386696
2123,171,2012-10-13 18:38:28.190830+00:00,66.41236474811228,-215.24275022867334,29.296875,7,40.559335792445886,-124.71585001762448,29.296875,171,193400,0.09799861907958984,FS20B,S,1350153519.706697
2124,171,2012-10-13 18:38:28.190830+00:00,66.41236474811228,-215.24275022867334,29.296875,7,40.559335792445886,-124.71585001762448,29.296875,171,154025,-0.30341410636901855,KMPB,P,1350153517.88
2125,171,2012-10-13 18:38:28.190830+00:00,66.41236474811228,-215.24275022867334,29.296875,7,40.559335792445886,-124.71585001762448,29.296875,171,287114,0.33011412620544434,KMPB,S,1350153525.45
2126,172,2012-10-13 19:28:32.411386+00:00,116.32739048236225,-152.73200015776382,14.453125,8,41.11657252768271,-124.11495056636183,14.453125,172,61543,-0.4535253047943115,G17B,P,1350156517.0424
2127,172,2012-10-13 19:28:32.411386+00:00,116.32739048236225,-152.73200015776382,14.453125,8,41.11657252768271,-124.11495056636183,14.453125,172,203222,-0.0755002498626709,G17B,S,1350156520.9464
2128,172,2012-10-13 19:28:32.411386+00:00,116.32739048236225,-152.73200015776382,14.453125,8,41.11657252768271,-124.11495056636183,14.453125,172,288704,-0.43829774856567383,JCC,S,1350156522.408394
2129,172,2012-10-13 19:28:32.411386+00:00,116.32739048236225,-152.73200015776382,14.453125,8,41.11657252768271,-124.11495056636183,14.453125,172,149917,-0.9140989780426025,KHMB,P,1350156519.13
2130,172,2012-10-13 19:28:32.411386+00:00,116.32739048236225,-152.73200015776382,14.453125,8,41.11657252768271,-124.11495056636183,14.453125,172,284009,1.047856092453003,KHMB,S,1350156526.39
2131,172,2012-10-13 19:28:32.411386+00:00,116.32739048236225,-152.73200015776382,14.453125,8,41.11657252768271,-124.11495056636183,14.453125,172,284334,0.12955927848815918,KSXB,S,1350156535.9537
2132,172,2012-10-13 19:28:32.411386+00:00,116.32739048236225,-152.73200015776382,14.453125,8,41.11657252768271,-124.11495056636183,14.453125,172,145525,0.38910675048828125,M14B,P,1350156520.119873
2133,172,2012-10-13 19:28:32.411386+00:00,116.32739048236225,-152.73200015776382,14.453125,8,41.11657252768271,-124.11495056636183,14.453125,172,281669,0.3148984909057617,M14B,S,1350156525.119873
2134,173,2012-10-13 20:25:22.067794+00:00,146.78401635410802,-272.4172167569442,0.390625,9,40.03433599332784,-123.78027737132862,0.390625,173,2074,-0.19089913368225098,FS09B,P,1350159937.5952
2135,173,2012-10-13 20:25:22.067794+00:00,146.78401635410802,-272.4172167569442,0.390625,9,40.03433599332784,-123.78027737132862,0.390625,173,49728,-0.22588443756103516,FS20B,P,1350159940.011089
