station,phase,C,n_obs
CN.PGC,S,1.7569842873451562,3081
CN.SHB,P,1.9376445991391409,3873
CN.SHB,S,-0.23566135286407022,4032
CN.SNB,P,0.06025700628591128,3822
CN.SNB,S,-0.3511418784846539,3227
CN.TXB,P,0.32993901144616883,2425
CN.TXB,S,0.4534376501211979,1544
CN.VDB,P,0.8500562457068543,2369
CN.VDB,S,-0.0447391564459968,1316
CN.VGZ,P,-0.2172935556768619,2038
CN.VGZ,S,-0.16360735044276958,2524
CN.WPB,P,-0.26831910762192573,1308
CN.WPB,S,0.5231385183109993,937
CN.WSLR,P,0.6099695312939591,278
CN.WSLR,S,0.8282051524371771,322
NC.KBO,P,1.043302069381228,1650
NC.KBO,S,0.5303669954142393,1420
NC.KCO,P,-0.456408693289004,1791
NC.KCO,S,0.1576271472629101,741
NC.KCR,P,1.7204511897450199,3942
NC.KCR,S,0.6464072964027503,1963
NC.KCS,P,0.3007381980730282,1555
NC.KCS,S,0.3874989405422803,810
NC.KCT,P,-0.08293444439760077,5326
NC.KCT,S,-1.0327593531422372,6899
NC.KEB,P,-0.8897209371425037,638
NC.KEB,S,-1.0035589232897755,339
NC.KHBB,P,-1.3837900589927044,7385
NC.KHBB,S,-1.0841535279485515,5663
NC.KHMB,P,-1.1862938091264998,6186
NC.KHMB,S,-0.621168135862703,7380
NC.KJJ,P,-0.8281660025259826,1511
NC.KJJ,S,-0.502635370286351,586
NC.KKP,P,-1.3376589618356598,1587
NC.KKP,S,-1.0441301724390484,412
NC.KMPB,P,-1.0235907379375162,8052
NC.KMPB,S,-0.3577924102831933,11156
NC.KMR,P,-1.2058335280641705,7239
NC.KMR,S,-0.5754534692140031,10244
NC.KOM,P,-0.5694959738604236,1506
NC.KOM,S,-0.36891190204671753,402
NC.KPP,P,-1.4455401771371144,502
NC.KPP,S,-0.9014804414249398,121
NC.KRMB,P,-0.732229283807441,7097
NC.KRMB,S,0.04024713262619252,5499
NC.KRP,P,0.6622841801733974,2111
NC.KRP,S,-0.8965563522358744,1566
NC.KSM,P,-0.7887656190800332,4390
NC.KSM,S,-0.800384568365128,2015
NC.KSXB,P,-0.6424807510366116,4614
