,Unnamed: 0,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,datetime
40,108840,2015-01-24T16:57:22.650Z,48.933,-125.1553333,22.413,1.06,md,8.0,97.0,0.1003,0.41,uw,uw60950162,2016-07-22T19:43:50.090Z,"28 km E of Ucluelet, Canada",earthquake,1.96,3.01,0.211,2.0,reviewed,uw,uw,2015-01-24 16:57:22.650000+00:00
41,110702,2015-02-13T09:30:55.470Z,48.5631667,-125.4098333,4.5,2.29,ml,12.0,224.0,0.3722,0.43,uw,uw60967781,2016-07-22T19:45:38.610Z,"43 km SSE of Ucluelet, Canada",earthquake,2.03,36.54,0.221,4.0,reviewed,uw,uw,2015-02-13 09:30:55.470000+00:00
42,110876,2015-02-15T04:12:22.530Z,49.7296,-123.5896,3.41,3.4,ml,,,,0.87,us,usb000tpg8,2022-06-16T08:33:12.046Z,"30 km NNE of Sechelt, Canada",earthquake,5.5,5.2,,,reviewed,pgc,pgc,2015-02-15 04:12:22.530000+00:00
43,110889,2015-02-15T06:53:46.730Z,49.6971667,-123.5611667,9.074,1.91,ml,9.0,142.0,0.5966,0.17,uw,uw60968876,2016-07-22T19:46:08.560Z,"28 km NNE of Sechelt, Canada",earthquake,0.63,2.73,0.12,6.0,reviewed,uw,uw,2015-02-15 06:53:46.730000+00:00
44,112199,2015-03-01T04:22:36.300Z,47.3858333,-123.4445,43.302,1.8,ml,16.0,128.0,0.09507,0.16,uw,uw60977716,2016-07-22T19:46:43.260Z,"22 km WNW of Skokomish, Washington",earthquake,0.5,0.78,0.157,34.0,reviewed,uw,uw,2015-03-01 04:22:36.300000+00:00
45,113907,2015-03-20T16:29:10.960Z,48.7143333,-124.2986667,42.77,1.82,md,13.0,93.0,0.1533,0.18,uw,uw60986776,2016-07-22T19:47:36.570Z,"21 km SW of Lake Cowichan, Canada",earthquake,0.6,1.16,0.042,2.0,reviewed,uw,uw,2015-03-20 16:29:10.960000+00:00
46,115550,2015-04-12T14:45:09.400Z,48.634,-125.0373333,30.594,1.21,md,9.0,172.0,0.21,0.21,uw,uw60998096,2016-07-22T19:48:26.080Z,"42 km NW of Neah Bay, Washington",earthquake,1.23,1.52,0.009,3.0,reviewed,uw,uw,2015-04-12 14:45:09.400000+00:00
47,116187,2015-04-21T06:51:37.050Z,49.2958333,-126.1498333,4.513,2.41,ml,8.0,152.0,0.4455,0.49,uw,uw60989822,2016-07-22T19:48:47.470Z,"23 km NW of Tofino, Canada",earthquake,1.97,41.38,0.109,3.0,reviewed,uw,uw,2015-04-21 06:51:37.050000+00:00
48,116525,2015-04-25T01:36:14.940Z,49.0795,-125.9281667,34.353,1.63,md,8.0,234.0,0.2978,0.41,uw,uw60992047,2016-07-22T19:49:11.060Z,"8 km S of Tofino, Canada",earthquake,2.63,3.15,0.032,3.0,reviewed,uw,uw,2015-04-25 01:36:14.940000+00:00
49,117439,2015-05-09T08:31:32.550Z,48.6375,-124.8805,4.083,0.98,md,7.0,164.0,0.2585,0.2,uw,uw60999992,2016-07-22T19:51:08.890Z,"35 km NNW of Neah Bay, Washington",earthquake,0.78,15.13,0.096,3.0,reviewed,uw,uw,2015-05-09 08:31:32.550000+00:00
50,117452,2015-05-09T14:13:44.290Z,49.6718333,-123.6386667,13.014,2.26,md,20.0,192.0,0.1759,0.25,uw,uw61000092,2016-07-22T19:51:09.390Z,"23 km NNE of Sechelt, Canada",earthquake,0.85,1.38,0.207,15.0,reviewed,uw,uw,2015-05-09 14:13:44.290000+00:00
51,121260,2015-07-11T04:35:08.700Z,48.8843333,-125.8838333,18.612,2.25,md,19.0,116.0,0.2291,0.39,uw,uw61040802,2016-07-22T19:53:24.550Z,"25 km WSW of Ucluelet, Canada",earthquake,1.15,2.69,0.381,11.0,reviewed,uw,uw,2015-07-11 04:35:08.700000+00:00
52,122397,2015-07-25T03:56:43.320Z,49.3922,-129.619,10.0,3.5,mwr,,183.0,2.954,0.96,us,us100031yj,2015-10-22T20:04:57.040Z,"225 km SW of Port McNeill, Canada",earthquake,9.6,2.0,,,reviewed,us,pgc,2015-07-25 03:56:43.320000+00:00
53,123157,2015-08-06T09:00:23.910Z,48.776,-125.8525,14.51,0.38,md,6.0,295.0,0.2534,0.06,uw,uw61049907,2016-07-22T19:56:08.260Z,"29 km SW of Ucluelet, Canada",earthquake,0.94,1.89,,1.0,reviewed,uw,uw,2015-08-06 09:00:23.910000+00:00
54,123324,2015-08-09T15:06:15.690Z,48.6061667,-125.0071667,32.559,0.91,md,5.0,178.0,0.2428,0.09,uw,uw61064056,2016-07-22T19:56:12.120Z,"38 km NW of Neah Bay, Washington",earthquake,1.43,1.77,0.008,3.0,reviewed,uw,uw,2015-08-09 15:06:15.690000+00:00
55,123488,2015-08-11T22:12:36.760Z,48.194,-124.4926667,31.6,1.69,ml,8.0,128.0,0.04464,0.33,uw,uw61065261,2016-07-22T19:56:17.880Z,"16 km WSW of Sekiu, Washington",earthquake,1.23,1.34,0.149,6.0,reviewed,uw,uw,2015-08-11 22:12:36.760000+00:00
56,124094,2015-08-20T23:13:01.090Z,47.5708333,-123.2748333,48.07,2.35,ml,20.0,68.0,0.1674,0.18,uw,uw61056477,2016-07-22T19:56:37.090Z,"20 km NNW of Hoodsport, Washington",earthquake,0.51,1.0,0.156,72.0,reviewed,uw,uw,2015-08-20 23:13:01.090000+00:00
57,124294,2015-08-24T12:30:18.610Z,48.6275,-124.8165,25.839,1.65,ml,6.0,149.0,0.2525,0.22,uw,uw61057457,2016-07-22T19:56:42.900Z,"32 km NNW of Neah Bay, Washington",earthquake,0.96,2.02,0.081,3.0,reviewed,uw,uw,2015-08-24 12:30:18.610000+00:00
58,124397,2015-08-27T02:20:44.000Z,49.272,-123.976,62.0,2.5,ml,,,,0.6,us,us1000357l,2016-07-22T19:56:46.770Z,"11 km E of Fairwinds, Canada",earthquake,4.2,6.3,0.143,24.0,reviewed,pgc,uw,2015-08-27 02:20:44+00:00
59,124484,2015-08-29T11:39:27.180Z,49.1357,-122.2566,4.4,2.6,ml,,,,1.38,us,us100035z3,2016-07-22T19:56:50.090Z,"3 km E of Mission, Canada",earthquake,1.4,6.2,0.143,24.0,reviewed,pgc,uw,2015-08-29 11:39:27.180000+00:00
60,124952,2015-09-05T22:35:49.020Z,49.168,-125.8858333,36.16,1.99,ml,8.0,216.0,0.3317,0.32,uw,uw61075341,2016-07-22T19:57:08.390Z,"2 km NE of Tofino, Canada",earthquake,2.16,2.74,0.123,4.0,reviewed,uw,uw,2015-09-05 22:35:49.020000+00:00
61,125047,2015-09-07T11:13:47.380Z,49.0778333,-126.1553333,4.51,1.84,md,8.0,256.0,0.4321,0.35,uw,uw61075796,2016-07-22T19:57:10.130Z,"19 km WSW of Tofino, Canada",earthquake,3.11,30.55,0.011,3.0,reviewed,uw,uw,2015-09-07 11:13:47.380000+00:00
62,126126,2015-09-29T16:12:40.320Z,48.7903333,-125.4988333,31.959,1.62,ml,6.0,270.0,0.1374,0.15,uw,uw61071687,2016-07-22T19:58:01.480Z,"17 km SSE of Ucluelet, Canada",earthquake,1.67,0.99,0.076,4.0,reviewed,uw,uw,2015-09-29 16:12:40.320000+00:00
63,131425,2015-12-30T07:39:29.310Z,48.5865,-123.3003333,52.42,4.79,ml,27.0,81.0,0.1167,0.19,uw,uw61114971,2024-08-10T23:57:40.199Z,"12 km SE of North Saanich, Canada",earthquake,0.43,0.67,0.137,178.0,reviewed,uw,uw,2015-12-30 07:39:29.310000+00:00
