station,latitude,longitude,elevation,active_days
X9.BS080.,43.210499,-126.329498,-3005.0,380
X9.BS100.,43.5369,-126.857002,-2957.0,379
X9.BS110.,43.709499,-127.169502,-2981.0,380
X9.BS160.,43.209202,-127.499702,-2353.0,377
X9.BS190.,43.311699,-128.076996,-3071.0,376
X9.BS210.,43.668201,-127.808197,-2610.0,366
X9.BS220.,43.736599,-128.021103,-2977.0,366
X9.BS250.,43.506901,-128.659103,-3201.0,374
X9.BS280.,43.735802,-128.696503,-3535.0,373
X9.BS310.,43.924,-128.586807,-2582.0,365
Z5.BB630.,42.877399,-126.636902,-3340.0,298
Z5.BB631.,42.8787,-126.634399,-3320.0,210
Z5.BB640.,42.993,-127.302002,-2854.0,299
Z5.BB650.,43.465199,-127.134697,-2947.0,297
Z5.BB660.,43.426201,-127.792702,-2182.0,299
Z5.BB670.,43.4669,-128.400299,-3269.0,299
Z5.BB680.,43.252499,-128.803497,-3253.0,299
Z5.BB690.,43.851898,-128.436798,-2858.0,307
Z5.BB700.,44.672401,-128.817307,-2800.0,305
Z5.BB830.,44.024399,-127.631104,-2939.0,411
Z5.BB840.,43.425301,-128.033401,-3278.0,410
Z5.BB850.,44.533199,-128.046005,-2875.0,460
Z5.BS611.,42.834702,-126.011597,-2720.0,409
Z5.BS620.,43.2645,-126.488098,-2975.0,290
Z5.BS641.,42.9939,-127.302002,-2840.0,409
Z5.BS810.,43.217602,-126.709297,-2940.0,410
Z5.BS820.,43.579899,-127.361801,-2935.0,410
Z5.GB030.,42.356499,-125.857101,-2621.0,312
Z5.GB050.,42.474998,-126.902702,-3948.0,342
Z5.GB080.,41.9828,-125.307701,-3103.0,322
Z5.GB100.,42.026001,-126.585197,-3571.0,320
Z5.GB101.,42.0205,-126.587997,-3585.0,404
Z5.GB111.,41.9217,-127.1716,-3403.0,409
Z5.GB130.,41.409698,-124.689903,-1088.0,316
Z5.GB170.,41.5956,-127.424004,-3454.0,320
Z5.GB171.,41.597,-127.4254,-3469.0,409
Z5.GB180.,41.951401,-128.296295,-3185.0,291
Z5.GB210.,41.337002,-126.055801,-3094.0,320
Z5.GB220.,41.073299,-126.914497,-2998.0,337
Z5.GB230.,41.127201,-127.430702,-3310.0,337
Z5.GB260.,40.975498,-125.221298,-3067.0,316
Z5.GB281.,41.0284,-126.089897,-3124.0,401
Z5.GB320.,40.396599,-125.912102,-2332.0,334
Z5.GB321.,40.3922,-125.911697,-2283.0,408
Z5.GB330.,40.511101,-126.5849,-3156.0,336
Z5.GB331.,40.513,-126.584,-3137.0,399
Z5.GB340.,40.3713,-127.442299,-1793.0,336
Z5.GB341.,40.372101,-127.442299,-1791.0,409
Z5.GB350.,40.861801,-128.111603,-3299.0,337
Z5.GB380.,40.059399,-126.162498,-4068.0,290
Z5.GS020.,42.573502,-125.447998,-3105.0,275
Z5.GS040.,42.554699,-126.403099,-2851.0,296
Z5.GS060.,42.628799,-127.301598,-2821.0,290
Z5.GS070.,41.981098,-124.726898,-699.0,285
Z5.GS090.,42.001999,-125.981499,-2942.0,275
Z5.GS110.,41.9226,-127.171204,-3601.0,271
Z5.GS120.,42.216702,-127.604202,-2935.0,290
Z5.GS150.,41.6964,-126.360703,-2965.0,275
Z5.GS240.,41.428101,-128.055893,-3115.0,291
Z5.GS261.,40.9785,-125.213501,-3077.0,402
Z5.GS270.,40.785599,-125.556801,-3041.0,283
Z5.GS280.,41.0336,-126.093399,-3125.0,275
Z5.GS300.,40.7864,-126.468201,-3151.0,292
Z5.GS311.,40.455399,-125.132004,-2498.0,409
Z5.GS400.,40.141602,-127.822998,-4510.0,291
